time_s,cpu_t_degC,motor_command,Z1_m,Z2_m,X_m,Y_m,TZ1,TZ2,TX,TY,WOB_gm,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,
1623529194.5145154,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.9459871833994506,-0.091547146780592,0.9765028989929814,-0.15257857796765334,-8.009791227217772,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529194.6280391,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.45773573390296,-0.091547146780592,-0.42722001830942935,-0.366188587122368,-8.697367940612315,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529194.736434,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8544400366188587,0.12206286237412267,-0.3967043027158987,0.45773573390296,-10.464654961759232,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529194.791758,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.732377174244736,0.030515715593530668,0.4882514494964907,0.15257857796765334,-8.187057098639801,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529194.9001324,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.5797985962770826,0.061031431187061336,-0.21361000915471468,0.3051571559353067,-310.59189035847805,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529195.0085535,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.9459871833994506,-0.33567287152883735,-0.12206286237412267,-0.030515715593530668,-6.269362671437829,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529195.063907,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,0.091547146780592,-0.030515715593530668,-0.42722001830942935,-4.502075650290913,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529195.1722903,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,0.42722001830942935,-0.3967043027158987,-0.183094293561184,-7.010656315566323,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529195.3250456,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6713457430576747,-0.061031431187061336,-0.061031431187061336,-0.45773573390296,-5.952432780107531,106.48838806152344,1013.3493041992188,0.0,0.0,0.0,0.0,0.0,
1623529195.3803935,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.3121757705218187,0.091547146780592,-0.061031431187061336,-0.030515715593530668,-5.3078296113001455,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529195.4887655,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.5797985962770826,-0.33567287152883735,-0.7934086054317974,-0.091547146780592,231.21855979642328,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
1623529195.5972402,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.5797985962770826,-0.061031431187061336,-0.183094293561184,0.33567287152883735,-7.016028008639718,106.4066390991211,1023.1688232421875,0.0,0.0,0.0,0.0,0.0,
