time_s,wob_n,
0.0,0.0,
1631998597.3999557,0.0028095100735003337,
1631998597.5005786,-0.0107288165931991,
1631998597.600702,-0.00846364909643616,
1631998597.7008226,-0.01931538175534699,
1631998597.8009295,-0.03596172894086069,
1631998598.0012512,-0.03722600847393768,
1631998598.1013746,-0.04765631462182285,
1631998598.2014954,-0.04086081213153403,
1631998598.3016036,-0.07610260411605513,
1631998598.4017196,-0.06556694134041353,
1631998598.5018406,-0.080632939109581,
1631998598.6019573,-0.06124731960240049,
1631998598.6019573,-0.06124731960240049,
1631998598.8022108,-0.09986052367512689,
1631998598.902332,-0.06272231239099031,
1631998599.002582,-0.11529526964144181,
1631998599.102703,-0.10202033454413342,
1631998599.202827,-0.11413634673612123,
1631998599.3029537,-0.1305719806661221,
1631998599.4030585,-0.11276671057528784,
1631998599.5031762,-0.14137103501115472,
1631998599.6034005,-0.1191934648684292,
1631998599.7035348,-0.14163442658054576,
1631998599.8036425,-0.13979068559480848,
1631998599.9037528,-0.1518013411590399,
1631998600.0038667,-0.1658137726506432,
1631998600.1039922,-0.1392639024560264,
1631998600.2041225,-0.18056370053654142,
1631998600.3042762,-0.16228432562080328,
1631998600.4043965,-0.16681466061432915,
1631998600.504506,-0.19078329342891376,
1631998600.504506,-0.19078329342891376,
1631998600.7047443,-0.2037421586429529,
1631998600.8048728,-0.19947521521881806,
1631998600.9050002,-0.19373327900609338,
1631998601.0051196,-0.21132783584141485,
1631998601.1052277,-0.20052878149638223,
1631998601.2053456,-0.21201265392183155,
1631998601.305453,-0.22265367332522953,
1631998601.4055598,-0.22112600222276152,
1631998601.5056822,-0.23466432888946095,
1631998601.6057973,-0.2416705446352626,
1631998601.7059093,-0.2263938336105823,
1631998601.806022,-0.25404994839664147,
1631998601.9061365,-0.25357584357173757,
1631998602.0062487,-0.24309285910997422,
1631998602.1063669,-0.2629525834420586,
1631998602.2064917,-0.2509419278778272,
1631998602.3066885,-0.273698959473213,
1631998602.4068058,-0.26721952686619344,
1631998602.5069194,-0.26879987628253965,
1631998602.6071877,-0.2969300958935027,
1631998602.707316,-0.26258383524491113,
1631998602.8074324,-0.305358626114016,
1631998602.9075735,-0.2698007642462256,
1631998603.007701,-0.2963506344408424,
1631998603.1079562,-0.30335685018664404,
1631998603.2080593,-0.29334797054978456,
1631998603.308171,-0.31973980580276673,
1631998603.408301,-0.3075711152969007,
1631998603.5084093,-0.3246915673073183,
1631998603.6085236,-0.3188442744668372,
1631998603.7086413,-0.3282210143371582,
1631998603.808752,-0.3280629793955236,
1631998603.9088733,-0.32932725892860054,
1631998604.0090206,-0.3361227614188894,
1631998604.1091433,-0.3364388313021586,
1631998604.2094154,-0.34981912302722346,
1631998604.3095412,-0.34065309641241526,
1631998604.409655,-0.35366463994033265,
1631998604.5097663,-0.36267263161350616,
1631998604.6098812,-0.3580896183061021,
1631998604.7100022,-0.37241811968097466,
1631998604.8101215,-0.360354785802865,
1631998604.9102397,-0.38116271978475713,
1631998605.0103683,-0.37384043415568624,
1631998605.110486,-0.38637787285869973,
1631998605.2106097,-0.38579841140603943,
1631998605.3107183,-0.3908028512244692,
1631998605.4108253,-0.39902066818946963,
1631998605.5109317,-0.3966501440649503,
1631998605.611035,-0.40376171643850833,
1631998605.71114,-0.4114000719508485,
1631998605.8112442,-0.40718580684059186,
1631998605.9113503,-0.42209376966812473,
1631998606.0114558,-0.4168786165941821,
1631998606.1115959,-0.4314178312245675,
1631998606.211715,-0.42641339140613777,
1631998606.311823,-0.4327347890715227,
1631998606.411933,-0.43431513848786896,
1631998606.512082,-0.43642227104299725,
1631998606.612193,-0.4456409759716836,
1631998606.7123044,-0.44163742411693985,
1631998606.8124442,-0.4501713109652095,
1631998606.9125583,-0.4546489676448572,
1631998607.012671,-0.44311241690552966,
1631998607.112787,-0.4504873808484788,
1631998607.2129037,-0.46091768699636393,
1631998607.3130188,-0.4420061723140873,
1631998607.4131339,-0.4780908173206597,
1631998607.5132384,-0.4675551545450181,
1631998607.6133716,-0.46918818227524256,
1631998607.7134776,-0.4899434379432565,
1631998607.8135843,-0.47461404860469797,
1631998607.9136949,-0.49157646567348096,
1631998608.0138123,-0.48778362707425,
1631998608.1139245,-0.49189253555675017,
1631998608.214066,-0.49800321996662233,
1631998608.314177,-0.4909443259069424,
1631998608.414291,-0.5125951129108859,
1631998608.514435,-0.5084335261145074,
1631998608.6145468,-0.5063263935593791,
1631998608.714667,-0.5302423480600855,
1631998608.8148243,-0.5132272526774244,
1631998608.9150927,-0.5383021300834514,
1631998609.0152109,-0.525290586555534,
1631998609.1153464,-0.534930717995246,
1631998609.2154677,-0.5448342410043492,
1631998609.315587,-0.5280298588772008,
1631998609.4157019,-0.5600582737151513,
1631998609.5158062,-0.5436753180990286,
1631998609.6159155,-0.5483636880341891,
1631998609.7160215,-0.5591100640653435,
1631998609.8161275,-0.5518404567501508,
1631998609.916236,-0.5702251882936453,
1631998610.0163438,-0.5612171966204718,
1631998610.1164594,-0.5699617967242543,
1631998610.1164594,-0.5699617967242543,
1631998610.3166769,-0.5758090895647354,
1631998610.4167953,-0.5870295704207937,
1631998610.5169127,-0.5780215787476202,
1631998610.6170278,-0.5906116957645118,
1631998610.7171512,-0.591401870472685,
1631998610.8172731,-0.594983995816403,
1631998610.917395,-0.5964589886049929,
1631998611.0179448,-0.6055196585920447,
1631998611.1180654,-0.6047821621977497,
1631998611.218177,-0.607363399577782,
1631998611.3182898,-0.6133687273598977,
1631998611.418396,-0.6166874611342248,
1631998611.5185103,-0.6132633707321412,
1631998611.6186233,-0.6176883490979107,
1631998611.7187376,-0.6256427744935201,
1631998611.8188488,-0.6249052780992251,
1631998611.9189615,-0.6297516829760204,
1631998612.0190725,-0.634229339655668,
1631998612.1191902,-0.6360730806414052,
1631998612.2193055,-0.6403927023794183,
1631998612.3194182,-0.6424998349345467,
1631998612.4195323,-0.6465033867892904,
1631998612.5196478,-0.6491373024832008,
1631998612.619763,-0.6484524844027841,
1631998612.7198794,-0.6592515387478167,
1631998612.820005,-0.6550899519514383,
1631998612.9201252,-0.6605158182808937,
1631998613.0202484,-0.6595149303172078,
1631998613.1205127,-0.6663104328074966,
1631998613.2206337,-0.6679961388515993,
1631998613.3207397,-0.6716309425091956,
1631998613.4208503,-0.672737187100638,
1631998613.5209615,-0.6817451787738115,
1631998613.621077,-0.6833782065040359,
1631998613.7211804,-0.6895942475416645,
1631998613.8212945,-0.6905951355053505,
1631998613.9214127,-0.69149066684128,
1631998614.02153,-8.566161095239067,
1631998614.121651,-26.387866820003346,
1631998614.2217655,-32.70146809493432,
1631998614.3218803,-41.738116770857616,
1631998614.4219887,-55.33686546357536,
1631998614.5221026,-53.71100198403835,
1631998614.6222162,-56.4608099684808,
1631998614.7223318,-54.95331466022812,
1631998614.8224545,-56.768345964901776,
1631998614.922583,-55.071366761629186,
1631998615.0227017,-56.98048153488932,
1631998615.1228273,-55.18020015810156,
1631998615.222949,-57.11096571836564,
1631998615.323067,-54.595944978878364,
1631998615.423195,-55.93571253574282,
1631998615.5233095,-54.64851793612881,
1631998615.6234462,-55.9451946322409,
1631998615.723563,-54.01679959610134,
1631998615.8236794,-54.813980520020266,
1631998615.9238873,-53.534160884349205,
1631998615.9238873,-53.534160884349205,
1631998616.1242173,-53.42084983119718,
1631998616.2244236,-54.87082042069485,
1631998616.3245988,-53.64863086040655,
1631998616.4252403,-54.916492518827255,
1631998616.5254369,-52.9963152996527,
1631998616.6255746,-54.49975437773676,
1631998616.7257526,-52.96665740893927,
1631998616.8259537,-53.858553941211206,
1631998616.9261146,-52.56535401381508,
1631998617.0262935,-53.45119253999103,
1631998617.0262935,-53.45119253999103,
1631998617.2266264,-53.61955243114578,
1631998617.326817,-54.560281760382814,
1631998617.4269903,-59.01096714332485,
1631998617.5271597,-58.81331810965381,
1631998617.6273353,-60.38181490537745,
1631998617.727536,-59.52758336752843,
1631998617.8276966,-61.36742615803872,
1631998617.9279206,-60.384290786129725,
1631998618.028029,-61.99377131005061,
1631998618.1282406,-60.46120112439191,
1631998618.228414,-60.6400966783223,
1631998618.3292465,-62.62296109101193,
1631998618.4293966,-63.427306265618284,
1631998618.529589,-63.63670256328416,
1631998618.6297143,-63.795316966371445,
1631998618.7299259,-63.896933433842506,
1631998618.8301156,-63.92943595350536,
1631998618.9302962,-63.97595090465982,
1631998619.030488,-64.00423915921242,
1631998619.1306615,-64.03247473545113,
1631998619.230852,-64.05928799721515,
1631998619.3310156,-64.07598702271454,
1631998619.4311728,-64.08057003602194,
1631998619.531351,-64.13588226559406,
1631998619.6314783,-64.14483757895336,
1631998619.7316675,-64.1546357453347,
1631998619.8324432,-64.16032500323355,
1631998619.932579,-64.17175619734512,
1631998620.0326989,-64.15405628388204,
1631998620.1328242,-64.16264284904419,
1631998620.2329466,-64.19962302538669,
1631998620.3330553,-64.20383729049695,
1631998620.4331686,-64.212897960484,
1631998620.5332856,-64.21832382681346,
1631998620.6334016,-64.22675235703397,
1631998620.7335243,-64.23375857277976,
1631998620.8336291,-64.23028180406381,
1631998620.9337497,-64.24339870421949,
1631998621.033856,-64.24245049456967,
1631998621.133954,-64.25835934536089,
1631998621.2340584,-64.25741113571108,
1631998621.334169,-64.27337266481618,
1631998621.434283,-64.26731465872018,
1631998621.5344079,-64.2667878755814,
1631998621.6345174,-64.27274052504964,
1631998621.7346282,-64.28090566370076,
1631998621.834751,-64.28027352393423,
1631998621.9348667,-64.28459314567225,
1631998622.034984,-64.29323238914827,
1631998622.1351159,-64.29238953612621,
1631998622.2352328,-64.29344310240378,
1631998622.3353605,-64.29765736751403,
1631998622.4354832,-64.30418947843494,
1631998622.535941,-64.30508500977086,
1631998622.6361196,-64.30334662541289,
1631998622.7363234,-64.31656888219631,
1631998622.8364918,-64.31920279789023,
1631998622.9366953,-64.30987873633379,
1631998623.036911,-64.3289482859577,
1631998623.1370864,-64.31946618945962,
1631998623.2372549,-64.32605097869438,
1631998623.3375938,-64.36034456102911,
1631998623.4377885,-64.36282044178138,
1631998623.53794,-64.35713118388253,
1631998623.6381576,-64.33832502582801,
1631998623.738351,-64.34454106686565,
1631998623.8385346,-64.3470696259318,
1631998623.9387434,-64.36203026707321,
1631998624.0388622,-64.37082754549087,
1631998624.1389785,-64.36382132974506,
1631998624.239097,-64.36656060206673,
1631998624.339221,-64.36966862258555,
1631998624.439519,-64.37035344066597,
1631998624.539629,-64.36898380450513,
1631998624.6397572,-64.37330342624314,
1631998624.7398689,-64.37888732751424,
1631998624.8399878,-64.37346146118477,
1631998624.9401495,-64.3746203840901,
1631998625.0405133,-64.37904536245587,
1631998625.140623,-64.3830489143106,
1631998625.2407272,-64.38352301913551,
1631998625.3408358,-64.38341766250775,
1631998625.4409444,-64.39432207348055,
1631998625.5411425,-64.3912667312756,
1631998625.641262,-64.39174083610051,
1631998625.7413702,-64.38926495534824,
1631998625.8414693,-64.39453278673606,
1631998625.9415958,-64.39553367469975,
1631998626.0417151,-64.39379529034177,
1631998626.1419756,-64.39832562533529,
1631998626.2421072,-64.3946908216777,
1631998626.3422253,-64.39790419882426,
1631998626.4428985,-64.40132828922634,
1631998626.5430276,-64.40707022543907,
1631998626.6431646,-64.40201310730677,
1631998626.7432902,-64.40859789654154,
1631998626.8434217,-64.40390952660638,
1631998626.9435441,-64.40527916276721,
1631998627.043662,-64.41275948333792,
1631998627.1437888,-64.40896664473868,
1631998627.2439022,-64.41249609176853,
1631998627.344015,-64.4137603713016,
1631998627.44414,-64.41607821711224,
1631998627.5442655,-64.41397108455712,
1631998627.6443813,-64.40949342787746,
1631998627.7445023,-64.42124069187231,
1631998627.8446164,-64.42066123041965,
1631998627.9447775,-64.41913355931719,
1631998628.044899,-64.41871213280616,
1631998628.1450164,-64.41960766414209,
1631998628.2451289,-64.42118801355844,
1631998628.3452427,-64.42524424372705,
1631998628.4453645,-64.42550763529644,
1631998628.5454834,-64.42445406901888,
1631998628.6456451,-64.42334782442744,
1631998628.7457728,-64.4270879847128,
1631998628.8458996,-64.42002909065312,
1631998628.9459999,-64.42519156541317,
1631998629.0461411,-64.46101281885036,
1631998629.1462572,-64.46153960198914,
1631998629.2463982,-64.43741293423292,
1631998629.2463982,-64.43741293423292,
1631998629.4466217,-64.43435759202798,
1631998629.5467367,-64.43535847999168,
1631998629.647012,-64.44078434632112,
1631998629.7471223,-64.43804507399946,
1631998629.8472366,-64.4379397173717,
1631998629.9473639,-64.44673699578937,
1631998630.0474813,-64.44125845114603,
1631998630.147598,-64.44436647166485,
1631998630.247729,-64.44088970294888,
1631998630.347847,-64.4452093246869,
1631998630.4479737,-64.44294415719013,
1631998630.5481262,-64.44757984881142,
1631998630.6482334,-64.44621021265058,
1631998630.748348,-64.44947626811103,
1631998630.8484557,-64.45574498746254,
1631998630.9485714,-64.44752717049754,
1631998631.0486913,-64.45400660310456,
1631998631.1491027,-64.45590302240417,
1631998631.2493668,-64.45448070792946,
1631998631.349475,-64.45669319711234,
1631998631.4505136,-64.45158340066615,
1631998631.5506418,-64.45426999467395,
1631998631.6507597,-64.45874765135359,
1631998631.750881,-64.45211018380495,
1631998631.8510087,-64.45795747664542,
1631998631.9511266,-64.455112847696,
1631998632.0512295,-64.45553427420703,
1631998632.1513615,-64.46412083936917,
1631998632.251474,-64.46343602128876,
1631998632.3515935,-64.46032800076995,
1631998632.4517195,-64.46443690925244,
1631998632.5518296,-64.45658784048459,
1631998632.6520085,-64.46812439122391,
1631998632.7521396,-64.46533244058837,
1631998632.8522475,-64.46485833576347,
1631998632.9523594,-64.49878316990103,
1631998633.0524695,-64.49119749270257,
1631998633.15258,-64.47560471179462,
1631998633.2526946,-64.47270740453132,
1631998633.3528242,-64.47312883104235,
1631998633.4529405,-64.47513060696971,
1631998633.553054,-64.47175919488151,
1631998633.553054,-64.47175919488151,
1631998633.753275,-64.47212794307866,
1631998633.853383,-64.47291811778683,
1631998633.9542181,-64.47518328528359,
1631998634.054372,-64.47260204790356,
1631998634.1544743,-64.47481453708644,
1631998634.2555776,-64.4771323828971,
1631998634.3557005,-64.47486721540032,
1631998634.455816,-64.47707970458322,
1631998634.555927,-64.48118861306571,
1631998634.6560473,-64.47655292144442,
1631998634.7561612,-64.47892344556895,
1631998634.8562808,-64.47665827807218,
1631998634.956416,-64.48108325643796,
1631998635.0565314,-64.4766055997583,
1631998635.156649,-64.48203146608776,
1631998635.256775,-64.48034576004366,
1631998635.3568964,-64.48650912276742,
1631998635.4570088,-64.4891957167752,
1631998635.5572703,-64.51611433516696,
1631998635.6573899,-64.51864289423312,
1631998635.757508,-64.51716790144452,
1631998635.857632,-64.52027592196335,
1631998635.95775,-64.52059199184662,
1631998636.0578814,-64.52164555812418,
1631998636.1579862,-64.5172205797584,
1631998636.2580996,-64.52596517986218,
1631998636.3582172,-64.5223303762046,
1631998636.4584813,-64.51558755202818,
1631998636.5586212,-64.51901164243027,
1631998636.6587343,-64.51643040505023,
1631998636.7588542,-64.4908814228193,
1631998636.8589764,-64.49483229636017,
1631998636.9591057,-64.49625461083488,
1631998637.0592217,-64.49441086984915,
1631998637.1593704,-64.49767692530959,
1631998637.2594855,-64.4974135337402,
1631998637.3595996,-64.49988941449247,
1631998637.4597325,-64.49435819153527,
1631998637.559851,-64.49240909392176,
1631998637.660393,-64.51648308336411,
1631998637.7606819,-64.53265532572472,
1631998637.8608544,-64.53175979438879,
1631998637.9609642,-64.50942418930443,
1631998638.061075,-64.50505188925254,
1631998638.161183,-64.50294475669742,
1631998638.261558,-64.5080545531436,
1631998638.3616977,-64.50420903623049,
1631998638.4618073,-64.504419749486,
1631998638.561919,-64.50315546995293,
1631998638.6620343,-64.50131172896718,
1631998638.762234,-64.50352421815008,
1631998638.862421,-64.50484117599703,
1631998638.9625337,-64.50873937122401,
1631998639.0626493,-64.5102143640126,
1631998639.1627645,-64.50341886152232,
1631998639.2628837,-64.5099509724432,
1631998639.36301,-64.50310279163905,
1631998639.4633093,-64.50278672175578,
1631998639.5636806,-64.50747509169094,
1631998639.6639082,-64.50236529524476,
1631998639.7640383,-64.51053043389588,
1631998639.7640383,-64.51053043389588,
1631998639.9642675,-64.50341886152232,
1631998640.0643735,-64.50631616878562,
1631998640.1644843,-64.50694830855215,
1631998640.2646136,-64.49388408671037,
1631998640.3647294,-64.49109213607481,
1631998640.4648528,-64.49662335903203,
1631998640.5649745,-64.49704478554305,
1631998640.6650934,-64.4918296324691,
1631998640.7652433,-64.49172427584135,
1631998640.8653598,-64.49393676502424,
1631998640.9656386,-64.49609657589325,
1631998641.0659335,-64.49551711444059,
1631998641.1660483,-64.49614925420713,
1631998641.2661855,-64.51585094359757,
1631998641.3664458,-64.51132060860405,
1631998641.4667397,-64.52501697021238,
1631998641.5668526,-64.51864289423312,
1631998641.667198,-64.51901164243027,
1631998641.767295,-64.52006520870783,
1631998641.8681908,-64.5191696773719,
1631998641.9682977,-64.52190894969357,
1631998642.0688963,-64.52290983765725,
1631998642.1691434,-64.52227769789071,
1631998642.2692506,-64.52238305451847,
1631998642.3693638,-64.51748397132779,
1631998642.4694905,-64.5237526906793,
1631998642.569605,-64.5254383967234,
1631998642.6697202,-64.52401608224869,
1631998642.769844,-64.5220669846352,
1631998642.8699615,-64.5305481931696,
