UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629070696.8041916,-0.0020997671969715343,-62.99301590914603
D,1629070696.9123013,-0.002199756111113036,-65.99268333339108
D,1629070697.0286393,-0.0022999485742593627,-68.99845722778088
D,1629070697.1511934,-0.002096451190037588,-62.89353570112764
D,1629070697.2599032,-0.002162039848258773,-64.86119544776318
D,1629070697.3653495,-0.002211535861051618,-66.34607583154855
D,1629070697.4856024,-0.0022372112144135622,-67.11633643240687
D,1629070697.602204,-0.002323772795095706,-69.71318385287117
D,1629070697.7189074,-0.0024168312449067628,-72.50493734720288
D,1629070697.8252087,-0.002466464642742202,-73.99393928226607
D,1629070697.9360957,-0.0025154392982625947,-75.46317894787784
D,1629070698.046549,-0.002593581936177351,-77.80745808532053
D,1629070698.1555054,-0.002675620767543167,-80.26862302629502
D,1629070698.2904527,-0.002729216628148525,-81.87649884445574
D,1629070698.4189262,-0.002865609786626898,-85.96829359880694
D,1629070698.5345967,-0.0029689219648777205,-89.06765894633162
D,1629070698.6513999,-0.0030123528073238842,-90.37058421971652
D,1629070698.7665136,-0.0030500380787536656,-91.50114236260997
D,1629070698.8903651,-0.003163564265995589,-94.90692797986767
D,1629070699.0328815,-0.0032474652230786863,-97.42395669236059
D,1629070699.1332376,-0.0033084608591128304,-99.25382577338492
D,1629070699.238421,-0.0034217990901308365,-102.65397270392509
D,1629070699.3416417,-0.00345634410191371,-103.69032305741129
D,1629070699.4774532,-0.0035500099326837824,-106.50029798051347
D,1629070699.5786357,-0.003628652961902068,-108.85958885706204
D,1629070699.6838253,-0.0036951007507442925,-110.85302252232877
D,1629070699.7872477,-0.0037950003224654564,-113.85000967396368
D,1629070699.9002132,-0.003871626720471856,-116.14880161415567
D,1629070700.010315,-0.0038872442033650347,-116.61732610095105
D,1629070700.1214066,-0.00400266744204634,-120.08002326139021
D,1629070700.2313132,-0.004066056727984796,-121.98170183954387
D,1629070700.3432949,-0.004187673988168529,-125.63021964505589
D,1629070700.4549098,-0.004240284606269423,-127.2085381880827
D,1629070700.563622,-0.004281262219638279,-128.43786658914837
D,1629070700.6746244,-0.004386255046815071,-131.58765140445215
D,1629070700.7822888,-0.004470463329181334,-134.11389987544004
D,1629070700.8932312,-0.004567067082194708,-137.01201246584125
D,1629070701.00464,-0.0046149253262090795,-138.44775978627237
D,1629070701.112199,-0.004723745917707204,-141.71237753121613
D,1629070701.2396624,-0.004791023811419522,-143.73071434258566
D,1629070701.361117,-0.004871709758328318,-146.15129274984952
D,1629070701.4704602,-0.004916031443740476,-147.4809433122143
D,1629070701.608269,-0.005008338648117315,-150.25015944351946
