UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072380.344631,-0.0019851677635520306,-59.55503290656092
D,-0.2,1629072380.455082,-0.002187740707835805,-65.63222123507414
D,-0.2,1629072380.5654452,-0.0023167199404991673,-69.50159821497502
D,-0.2,1629072380.6819327,-0.0026161723777945725,-78.48517133383717
D,-0.2,1629072380.7931855,-0.00271620220794729,-81.4860662384187
D,-0.2,1629072380.9155498,-0.0027910076245203186,-83.73022873560956
D,-0.2,1629072381.0310602,-0.0028750476197539486,-86.25142859261845
D,-0.2,1629072381.1420267,-0.0030052327643786112,-90.15698293135833
D,-0.2,1629072381.2588735,-0.003009924960648037,-90.29774881944111
D,-0.2,1629072381.3698764,-0.0033643109757954042,-100.92932927386212
D,-0.2,1629072381.481044,-0.003512521726338416,-105.37565179015247
D,-0.2,1629072381.5915842,-0.003665839182866532,-109.97517548599596
D,-0.2,1629072381.7015498,-0.003605416558204127,-108.16249674612381
D,-0.2,1629072381.8138406,-0.004013354715100314,-120.40064145300943
D,-0.2,1629072381.92563,-0.0038466099043069817,-115.39829712920944
D,-0.2,1629072382.039486,-0.004315726477571012,-129.47179432713034
D,-0.2,1629072382.1531472,-0.0043688006849142424,-131.06402054742728
D,-0.2,1629072382.2625787,-0.004504312028498503,-135.12936085495508
D,-0.2,1629072382.393587,-0.004670579289570672,-140.11737868712018
D,-0.2,1629072382.5042527,-0.0045443900376393835,-136.33170112918148
D,-0.2,1629072382.611537,-0.004613269635565376,-138.39808906696126
D,-0.2,1629072382.7206764,-0.004734490406160756,-142.0347121848227
D,-0.2,1629072382.82087,-0.00528282863138669,-158.4848589416007
D,-0.2,1629072382.9270735,-0.005186167400565685,-155.58502201697056
D,-0.2,1629072383.0533059,-0.005232179763863658,-156.96539291590975
D,-0.2,1629072383.1694648,-0.005536884861192488,-166.10654583577463
D,-0.2,1629072383.2864482,-0.005675193914907944,-170.25581744723831
D,-0.2,1629072383.429556,-0.00568042659067776,-170.4127977203328
D,-0.2,1629072383.5600095,-0.006079691930452541,-182.39075791357624
D,-0.2,1629072383.6761763,-0.005918004378267021,-177.54013134801065
D,-0.2,1629072383.7934546,-0.006275133739525662,-188.25401218576985
D,-0.2,1629072383.920655,-0.006190153608737266,-185.70460826211797
D,-0.2,1629072384.0317123,-0.006347101233231357,-190.4130369969407
D,-0.2,1629072384.1493213,-0.006381510460401261,-191.44531381203782
D,-0.2,1629072384.2607856,-0.006505101965834416,-195.15305897503248
D,-0.2,1629072384.3720632,-0.006960931523107821,-208.82794569323462
D,-0.2,1629072384.4838488,-0.007062650781905489,-211.87952345716468
D,-0.2,1629072384.6097236,-0.007196758915683537,-215.9027674705061
D,-0.2,1629072384.730391,-0.007344469854384472,-220.33409563153415
D,-0.2,1629072384.8424926,-0.007330871226984611,-219.92613680953832
D,-0.2,1629072384.9527268,-0.007463504648925077,-223.90513946775232
D,-0.2,1629072385.062164,-0.007617680902444912,-228.53042707334737
D,-0.2,1629072385.1672187,-0.0077583896991896524,-232.75169097568957
D,-0.2,1629072385.2792847,-0.007933753240789054,-238.0125972236716
D,-0.2,1629072385.3929882,-0.00787433473502692,-236.23004205080758
D,-0.2,1629072385.5032601,-0.008370077667397318,-251.10233002191956
D,-0.2,1629072385.6054103,-0.00828713773258655,-248.61413197759651
D,-0.2,1629072385.720434,-0.008560587522011906,-256.8176256603571
D,-0.2,1629072385.834526,-0.008579768923632408,-257.39306770897224
D,-0.2,1629072385.9435065,-0.008741068689943614,-262.2320606983084
D,-0.2,1629072386.0501266,-0.008763678536706813,-262.9103561012044
D,-0.2,1629072386.1665266,-0.008844601661464899,-265.338049843947
D,-0.2,1629072386.2755592,-0.009101886443018082,-273.0565932905425
D,-0.2,1629072386.3873591,-0.009317954868939935,-279.53864606819803
D,-0.2,1629072386.4973376,-0.009276865255708585,-278.30595767125754
D,-0.2,1629072386.6037478,-0.009586616795031443,-287.59850385094325
D,-0.2,1629072386.7176783,-0.00957515135839264,-287.2545407517792
D,-0.2,1629072386.8350375,-0.009929343938771446,-297.8803181631434
