time_s,wob_n,
0.0,0.0,
1629072380.4169483,-3.265575502478006,
1629072380.4169483,-3.265575502478006,
1629072380.6536913,2.8689195052670624,
1629072380.6536913,2.8689195052670624,
1629072380.8894384,1.3128021133048005,
1629072380.9934728,-2.361141531503054,
1629072381.103396,-8.243623485654776,
1629072381.2201672,2.633447442231473,
1629072381.3315752,3.1662359087956675,
1629072381.442204,3.905101939251412,
1629072381.5530362,-5.42127746300203,
1629072381.663304,7.789653482944342,
1629072381.7753816,-6.763362865677133,
1629072381.8866296,9.399186685179107,
1629072381.9984944,5.049590986569357,
1629072382.1119885,4.83608578042098,
1629072382.2215354,5.951759790047546,
1629072382.3368707,6.0776082819025845,
1629072382.4458961,-6.467363419995483,
1629072382.5563095,-9.084422053464852,
1629072382.6688712,10.936708632342361,
1629072382.7802458,-0.5278308519136623,
1629072382.7802458,-0.5278308519136623,
1629072382.9897795,-4.588011894076537,
1629072383.105567,3.731790286592108,
1629072383.2226205,3.161494860546629,
1629072383.325341,-2.5061649296097603,
1629072383.4369264,10.11603318043376,
1629072383.5379863,-4.345322902039634,
1629072383.6559234,6.416698588336609,
1629072383.765188,-4.217788704140492,
1629072383.8848195,7.330351264240247,
1629072383.9951005,-2.847257011971157,
1629072384.1037047,-7.306370925133701,
1629072384.214837,8.267287754878053,
1629072384.3266194,6.268672526338845,
1629072384.4375682,5.913199264288697,
1629072384.5489736,16.26780667513088,
1629072384.6565976,6.217574561876983,
1629072384.7618496,-1.0584595076088505,
1629072384.9809692,0.015967382251078015,
1629072385.087712,0.3606942682700706,
1629072385.1958659,2.3083168889751735,
1629072385.3077364,-6.871195374185825,
1629072385.418725,10.546204291563205,
1629072385.5294256,-0.2507429209142887,
1629072385.6413438,6.3328873909563805,
1629072385.7490158,0.5862101299826787,
1629072385.860338,1.8604985426965281,
1629072385.972024,-3.4459460491969898,
1629072386.0836155,-5.68730294808698,
1629072386.1950052,0.4783776214739871,
1629072386.3037045,4.32668648521871,
1629072386.4161854,-4.119807040327025,
1629072386.5283046,4.407284305452368,
1629072386.5283046,4.407284305452368,
1629072386.634581,-2.6556133060822362,
1629072386.8526216,3.074048859508804,
1629072386.8526216,3.074048859508804,
1629072386.9636922,9.71041016357156,
1629072387.177941,-1.5556901123052551,
1629072387.2860253,-6.664854418724884,
1629072387.390747,1.3938213600494842,
1629072387.4958098,3.4653960533100103,
1629072387.619602,7.299587128935373,
1629072387.8450193,0.2535465778417957,
1629072387.8450193,0.2535465778417957,
1629072387.9646337,-3.0352659142024807,
1629072388.0731459,-4.504464088265699,
1629072388.301934,-1.4126684901259206,
1629072388.4141562,-1.7232598287518346,
1629072388.5239732,-12.001799754353884,
1629072388.6373098,8.96048168720139,
1629072388.74917,-6.248643060773164,
1629072388.74917,-6.248643060773164,
1629072388.8576899,-2.191095934304199,
1629072389.0811265,-10.98547704470162,
1629072389.0811265,-10.98547704470162,
1629072389.1890724,1.546061687157505,
1629072389.301664,-15.918906496023547,
1629072389.4137945,1.6598995234483125,
1629072389.525941,-5.028771346295503,
1629072389.6378427,-2.7552279976259277,
1629072389.8607888,-9.165546656837293,
1629072389.9719667,-11.921201934120226,
1629072390.078594,4.829395634558448,
1629072390.186547,-9.903517155957108,
1629072390.2991917,1.363636686197271,
1629072390.4075928,-8.603679761012327,
1629072390.519491,-6.231891356959894,
1629072390.6315496,-10.92052468368979,
1629072390.7396874,-9.553680473491928,
1629072390.8510833,-3.0419560600650133,
1629072390.9638956,-3.9724131180957998,
1629072391.0730247,-6.07238142253668,
1629072391.184996,-3.4070694535548722,
1629072391.2935524,-3.046644430000174,
1629072391.4054954,-6.523571180903531,
1629072391.517592,-2.168286224394935,
1629072391.625282,-3.7841935026089626,
1629072391.7368479,-8.81555193943048,
1629072391.8499806,-6.087447420305847,
1629072391.9577231,-3.4936199232567677,
1629072392.0692647,-9.411975809159548,
1629072392.1807487,4.153322154245528,
1629072392.2926233,-9.572591988174205,
1629072392.401503,-3.354865244501568,
1629072392.5129921,-15.971742844843389,
1629072392.6249847,-3.9852139483682043,
1629072392.7338386,-17.18223781945073,
1629072392.8446763,-11.152309264753903,
1629072392.9572842,-4.545763886346214,
1629072393.0706131,3.5583732773050474,
1629072393.1830273,-8.39986736461754,
1629072393.2906656,-1.759133760502894,
1629072393.40323,-8.807492157407113,
